level,breed_a,breed_b,seeds,win_rate_a
3,maine_coon,siamese,20000,48.78
3,maine_coon,british,20000,49.8
3,maine_coon,bengal,20000,48.5
3,siamese,british,20000,51.8
3,siamese,bengal,20000,49.645
3,british,bengal,20000,47.91
5,maine_coon,siamese,20000,47.815
5,maine_coon,british,20000,49.135
5,maine_coon,bengal,20000,48.305
5,siamese,british,20000,52.09
5,siamese,bengal,20000,49.385
5,british,bengal,20000,47.51
8,maine_coon,siamese,20000,47.765
8,maine_coon,british,20000,49.63
8,maine_coon,bengal,20000,48.2
8,siamese,british,20000,51.95
8,siamese,bengal,20000,49.78
8,british,bengal,20000,47.66
10,maine_coon,siamese,20000,47.38
10,maine_coon,british,20000,49.415
10,maine_coon,bengal,20000,47.35
10,siamese,british,20000,52.475
10,siamese,bengal,20000,50.635
10,british,bengal,20000,47.705
20,maine_coon,siamese,20000,48.33
20,maine_coon,british,20000,51.125
20,maine_coon,bengal,20000,48.54
20,siamese,british,20000,52.905
20,siamese,bengal,20000,50.465
20,british,bengal,20000,47.44
